obs,wbcode,smedia,lngdp,corruption
Argentina,ARG,4320,8.962253571,93.97000122
Australia,AUS,7296,10.03775597,83.63999939
Austria,AUT,6464.619629,10.13842583,85.75
Belgium,BEL,6975,10.07649517,85.91000366
Brazil,BRA,3943.050049,8.272015572,92.40000153
Canada,CAN,7548.200195,10.12050438,83.81999969
Chile,CHL,4230,8.618375778,86.36000061
China,CHN,1817.899902,7.240612507,92.98999786
Colombia,COL,3504,7.685947418,93.04000092
France,FRA,7289.100098,10.06170082,86.51999664
Germany,DEU,7380,10.07998943,84.93000031
India,IND,712.5,6.347273827,93.54999542
Ireland,IRL,6635.75,10.29880524,86.25
Israel,ISR,6345,9.787876129,88.43000031
Italy,ITA,4992.240234,9.877995491,91.58999634
Japan,JPN,4536.180176,10.56108475,85.88999939
Malaysia,MYS,5292.199707,8.380257607,90.73000336
Mexico,MEX,2980.799805,8.719389915,93.55000305
Netherlands,NLD,8527.679688,10.11311626,83.66000366
New Zealand,NZL,7885,9.627620697,82.47999573
Norway,NOR,8311.709961,10.58832932,83.68000031
Peru,PER,3337.919922,7.741207123,93.02999878
Philippines,PHL,2400,7.019551754,94.37000275
Poland,POL,5920.399902,8.54407692,90.31999969
Portugal,PRT,5116.799805,9.309034348,88.05000305
Russia,RUS,3784,7.770130634,95.05000305
Singapore,SGP,6674,10.14463902,82.93000031
South Korea,KOR,7281.899902,9.474931717,89.80999756
Spain,ESP,6448.400391,9.653400421,87.55999756
Sweden,SWE,8370,10.29850388,82.87999725
Switzerland,SWZ,7551,7.228879452,83.33999634
Turkey,TUR,3822.719971,8.10184288,91.56999969
United Kingdom,GBR,8330,10.19377136,85.23000336
Venezuela,VEN,3587.52002,8.466351509,95.23999786
Vietnam,VNM,2605.25,6.261030674,93.95999908